Command,Argument,Cycles,CPU,Real
timing1,5000000,40000.0,0.04,0.040381
timing1,5000000,40000.0,0.04,0.040399
timing1,5000000,30000.0,0.03,0.040389
timing1,5000000,30000.0,0.03,0.040377
timing1,5000000,30000.0,0.03,0.040389
timing1,5000000,30000.0,0.03,0.040394
timing1,5000000,30000.0,0.03,0.040385
timing1,5000000,30000.0,0.03,0.040399
timing1,5000000,40000.0,0.04,0.040392
timing1,5000000,30000.0,0.03,0.040388
timing1,10000000,70000.0,0.07,0.080764
timing1,10000000,80000.0,0.08,0.080756
timing1,10000000,70000.0,0.07,0.080774
timing1,10000000,70000.0,0.07,0.080779
timing1,10000000,70000.0,0.07,0.080805
timing1,10000000,70000.0,0.07,0.080787
timing1,10000000,70000.0,0.07,0.080802
timing1,10000000,80000.0,0.08,0.080786
timing1,10000000,80000.0,0.08,0.080784
timing1,10000000,80000.0,0.08,0.080786
timing1,20000000,160000.0,0.16,0.161523
timing1,20000000,160000.0,0.16,0.161525
timing1,20000000,160000.0,0.16,0.16154
timing1,20000000,160000.0,0.16,0.16155
timing1,20000000,160000.0,0.16,0.16149
timing1,20000000,160000.0,0.16,0.161478
timing1,20000000,160000.0,0.16,0.161494
timing1,20000000,160000.0,0.16,0.161471
timing1,20000000,160000.0,0.16,0.161455
timing1,20000000,160000.0,0.16,0.161463
