Command,Argument,Sqrt Cycles,Sum Cycles,Sum
timing2,5000000,36.0,109009209.0,7453559000.0
timing2,5000000,48.0,109028307.0,7453559000.0
timing2,5000000,36.0,109010220.0,7453559000.0
timing2,5000000,36.0,108999405.0,7453559000.0
timing2,5000000,36.0,109040982.0,7453559000.0
timing2,5000000,48.0,109034412.0,7453559000.0
timing2,5000000,51.0,109074297.0,7453559000.0
timing2,5000000,36.0,109005285.0,7453559000.0
timing2,5000000,51.0,109005582.0,7453559000.0
timing2,5000000,48.0,109005339.0,7453559000.0
timing2,10000000,33.0,217946115.0,21081850000.0
timing2,10000000,36.0,217988004.0,21081850000.0
timing2,10000000,33.0,217953345.0,21081850000.0
timing2,10000000,33.0,217952637.0,21081850000.0
timing2,10000000,51.0,217977591.0,21081850000.0
timing2,10000000,51.0,217945125.0,21081850000.0
timing2,10000000,36.0,217960887.0,21081850000.0
timing2,10000000,51.0,217958421.0,21081850000.0
timing2,10000000,36.0,217946193.0,21081850000.0
timing2,10000000,36.0,217959312.0,21081850000.0
timing2,20000000,33.0,435924642.0,59628480000.0
timing2,20000000,33.0,435834174.0,59628480000.0
timing2,20000000,33.0,435847509.0,59628480000.0
timing2,20000000,33.0,435850194.0,59628480000.0
timing2,20000000,36.0,435843639.0,59628480000.0
timing2,20000000,48.0,435879009.0,59628480000.0
timing2,20000000,33.0,435905913.0,59628480000.0
timing2,20000000,33.0,435845931.0,59628480000.0
timing2,20000000,33.0,435861426.0,59628480000.0
timing2,20000000,51.0,435842322.0,59628480000.0
