Command,Argument,Sqrt Cycles,Sum Cycles,Sum
timing2_O3,5000000,0.0,92269770.0,7453559000.0
timing2_O3,5000000,0.0,91754160.0,7453559000.0
timing2_O3,5000000,0.0,91759110.0,7453559000.0
timing2_O3,5000000,0.0,91757112.0,7453559000.0
timing2_O3,5000000,0.0,91747347.0,7453559000.0
timing2_O3,5000000,0.0,91730595.0,7453559000.0
timing2_O3,5000000,0.0,91738776.0,7453559000.0
timing2_O3,5000000,0.0,91757586.0,7453559000.0
timing2_O3,5000000,0.0,91736511.0,7453559000.0
timing2_O3,5000000,0.0,91744665.0,7453559000.0
timing2_O3,10000000,0.0,183283224.0,21081850000.0
timing2_O3,10000000,0.0,183388110.0,21081850000.0
timing2_O3,10000000,0.0,183311256.0,21081850000.0
timing2_O3,10000000,0.0,183319161.0,21081850000.0
timing2_O3,10000000,0.0,183303231.0,21081850000.0
timing2_O3,10000000,0.0,183329103.0,21081850000.0
timing2_O3,10000000,0.0,183384708.0,21081850000.0
timing2_O3,10000000,0.0,183291789.0,21081850000.0
timing2_O3,10000000,0.0,183314442.0,21081850000.0
timing2_O3,10000000,0.0,183296946.0,21081850000.0
timing2_O3,20000000,0.0,366428355.0,59628480000.0
timing2_O3,20000000,0.0,366408738.0,59628480000.0
timing2_O3,20000000,0.0,366392220.0,59628480000.0
timing2_O3,20000000,0.0,366379209.0,59628480000.0
timing2_O3,20000000,0.0,366402525.0,59628480000.0
timing2_O3,20000000,0.0,366449952.0,59628480000.0
timing2_O3,20000000,0.0,366400671.0,59628480000.0
timing2_O3,20000000,0.0,366446187.0,59628480000.0
timing2_O3,20000000,0.0,366409329.0,59628480000.0
timing2_O3,20000000,0.0,366397779.0,59628480000.0
