cycles,flops_per_cycle,gflops_per_sec,n,order,time
2838291,0.704649,1.90255,100,ijk,0.00105122
2838099,0.704697,1.90268,100,ijk,0.00105115
2855727,0.700347,1.89094,100,ijk,0.00105768
2858664,0.699628,1.88899,100,ijk,0.00105876
2877813,0.694972,1.87642,100,ijk,0.00106586
2824779,0.70802,1.91165,100,ijk,0.00104621
2827482,0.707343,1.90983,100,ijk,0.00104722
2865018,0.698076,1.8848,100,ijk,0.00106112
2867013,0.69759,1.88349,100,ijk,0.00106186
2878920,0.694705,1.8757,100,ijk,0.00106627
2792091,0.716309,1.93403,100,ikj,0.00103411
2786625,0.717714,1.93783,100,ikj,0.00103208
2787051,0.717604,1.93753,100,ikj,0.00103224
2784165,0.718348,1.93954,100,ikj,0.00103117
2784474,0.718269,1.93932,100,ikj,0.00103129
2784906,0.718157,1.93902,100,ikj,0.00103145
2799603,0.714387,1.92884,100,ikj,0.00103689
2785968,0.717883,1.93829,100,ikj,0.00103184
2785932,0.717893,1.93831,100,ikj,0.00103183
2807232,0.712446,1.9236,100,ikj,0.00103972
2812098,0.711213,1.92027,100,kij,0.00104152
2796060,0.715292,1.93129,100,kij,0.00103558
2803872,0.713299,1.92591,100,kij,0.00103847
2803932,0.713284,1.92587,100,kij,0.00103849
2807832,0.712293,1.92319,100,kij,0.00103994
2795280,0.715492,1.93183,100,kij,0.00103529
2832114,0.706186,1.9067,100,kij,0.00104893
2794707,0.715639,1.93222,100,kij,0.00103508
2791923,0.716352,1.93415,100,kij,0.00103405
2802819,0.713567,1.92663,100,kij,0.00103808
2853465,0.700902,1.89244,100,jik,0.00105684
2847120,0.702464,1.89665,100,jik,0.00105449
2856099,0.700256,1.89069,100,jik,0.00105781
2845914,0.702762,1.89746,100,jik,0.00105404
2846682,0.702572,1.89695,100,jik,0.00105433
2846388,0.702645,1.89714,100,jik,0.00105422
2872452,0.696269,1.87993,100,jik,0.00106387
2846871,0.702526,1.89682,100,jik,0.0010544
